Year,Month,Day,GHI,DNI,state,lat,lon
1998,1,1,3542,7044,cal,33,-115
1998,1,2,3526,7019,cal,33,-115
1998,1,3,3542,6846,cal,33,-115
1998,1,4,2974,4713,cal,33,-115
1998,1,5,3827,7941,cal,33,-115
1998,1,6,3489,5552,cal,33,-115
1998,1,7,3781,7814,cal,33,-115
1998,1,8,2423,2206,cal,33,-115
1998,1,9,1563,1479,cal,33,-115
1998,1,10,2856,4492,cal,33,-115
1998,1,11,3701,7084,cal,33,-115
1998,1,12,3620,6457,cal,33,-115
1998,1,13,3764,7057,cal,33,-115
1998,1,14,3879,7462,cal,33,-115
1998,1,15,3641,6008,cal,33,-115
1998,1,16,3368,4487,cal,33,-115
1998,1,17,3122,3520,cal,33,-115
1998,1,18,3725,6018,cal,33,-115
1998,1,19,3654,5127,cal,33,-115
1998,1,20,2932,3271,cal,33,-115
1998,1,21,4149,8031,cal,33,-115
1998,1,22,4076,7164,cal,33,-115
1998,1,23,3900,6054,cal,33,-115
1998,1,24,4234,8138,cal,33,-115
1998,1,25,4308,8285,cal,33,-115
1998,1,26,4173,6263,cal,33,-115
1998,1,27,3793,4856,cal,33,-115
1998,1,28,4362,7623,cal,33,-115
1998,1,29,4291,7760,cal,33,-115
1998,1,30,4467,8136,cal,33,-115
1998,1,31,4015,5073,cal,33,-115
1998,2,1,4429,7885,cal,33,-115
1998,2,2,4068,6365,cal,33,-115
1998,2,3,1096,238,cal,33,-115
1998,2,4,3997,6144,cal,33,-115
1998,2,5,4598,7759,cal,33,-115
1998,2,6,2924,3928,cal,33,-115
1998,2,7,4289,6399,cal,33,-115
1998,2,8,2460,2331,cal,33,-115
1998,2,9,4784,8027,cal,33,-115
1998,2,10,4583,6888,cal,33,-115
1998,2,11,4360,5350,cal,33,-115
1998,2,12,4518,5451,cal,33,-115
1998,2,13,4603,6360,cal,33,-115
1998,2,14,1147,96,cal,33,-115
1998,2,15,4390,5446,cal,33,-115
1998,2,16,5091,7780,cal,33,-115
1998,2,17,1702,411,cal,33,-115
1998,2,18,5212,8195,cal,33,-115
1998,2,19,2976,1633,cal,33,-115
1998,2,20,4330,5405,cal,33,-115
1998,2,21,4005,1650,cal,33,-115
1998,2,22,4824,6350,cal,33,-115
1998,2,23,5263,7364,cal,33,-115
1998,2,24,3739,2929,cal,33,-115
1998,2,25,5533,8568,cal,33,-115
1998,2,26,5475,7796,cal,33,-115
1998,2,27,5669,8354,cal,33,-115
1998,2,28,5757,8966,cal,33,-115
1998,3,1,5855,9251,cal,33,-115
1998,3,2,5561,8223,cal,33,-115
1998,3,3,5805,8744,cal,33,-115
1998,3,4,4812,4654,cal,33,-115
1998,3,5,5678,8063,cal,33,-115
1998,3,6,4726,5329,cal,33,-115
1998,3,7,6261,9394,cal,33,-115
1998,3,8,6190,9327,cal,33,-115
1998,3,9,6064,7717,cal,33,-115
1998,3,10,6240,8507,cal,33,-115
1998,3,11,6308,9134,cal,33,-115
1998,3,12,6195,8207,cal,33,-115
1998,3,13,4475,3116,cal,33,-115
1998,3,14,1630,893,cal,33,-115
1998,3,15,6034,7910,cal,33,-115
1998,3,16,6080,6743,cal,33,-115
1998,3,17,6251,8074,cal,33,-115
1998,3,18,6624,9277,cal,33,-115
1998,3,19,6625,9357,cal,33,-115
1998,3,20,6460,8341,cal,33,-115
1998,3,21,6805,9388,cal,33,-115
1998,3,22,6374,6988,cal,33,-115
1998,3,23,6763,9436,cal,33,-115
1998,3,24,6790,9323,cal,33,-115
1998,3,25,6138,7684,cal,33,-115
1998,3,26,4375,3946,cal,33,-115
1998,3,27,6717,8646,cal,33,-115
1998,3,28,2228,2011,cal,33,-115
1998,3,29,4577,3278,cal,33,-115
1998,3,30,7235,9940,cal,33,-115
1998,3,31,6968,8420,cal,33,-115
1998,4,1,6176,7218,cal,33,-115
1998,4,2,7224,9425,cal,33,-115
1998,4,3,7313,9768,cal,33,-115
1998,4,4,7401,9853,cal,33,-115
1998,4,5,7276,9195,cal,33,-115
1998,4,6,7198,8376,cal,33,-115
1998,4,7,7392,9531,cal,33,-115
1998,4,8,7479,9693,cal,33,-115
1998,4,9,7535,9773,cal,33,-115
1998,4,10,7630,10077,cal,33,-115
1998,4,11,5554,6557,cal,33,-115
1998,4,12,7188,8226,cal,33,-115
1998,4,13,7694,9678,cal,33,-115
1998,4,14,7603,9159,cal,33,-115
1998,4,15,7774,9686,cal,33,-115
1998,4,16,7816,9136,cal,33,-115
1998,4,17,7532,9242,cal,33,-115
1998,4,18,7935,10538,cal,33,-115
1998,4,19,7923,10326,cal,33,-115
1998,4,20,7959,10413,cal,33,-115
1998,4,21,7885,9752,cal,33,-115
1998,4,22,7912,9875,cal,33,-115
1998,4,23,8027,10332,cal,33,-115
1998,4,24,7976,9749,cal,33,-115
1998,4,25,7710,8127,cal,33,-115
1998,4,26,8050,9199,cal,33,-115
1998,4,27,7997,9516,cal,33,-115
1998,4,28,8026,9599,cal,33,-115
1998,4,29,8072,9721,cal,33,-115
1998,4,30,8061,9474,cal,33,-115
1998,5,1,8322,10059,cal,33,-115
1998,5,2,7721,7892,cal,33,-115
1998,5,3,8214,9713,cal,33,-115
1998,5,4,8123,9927,cal,33,-115
1998,5,5,8215,10283,cal,33,-115
1998,5,6,8386,10759,cal,33,-115
1998,5,7,8319,10090,cal,33,-115
1998,5,8,8206,9735,cal,33,-115
1998,5,9,8203,9585,cal,33,-115
1998,5,10,8402,9899,cal,33,-115
1998,5,11,8378,9673,cal,33,-115
1998,5,12,6819,6036,cal,33,-115
1998,5,13,7929,9678,cal,33,-115
1998,5,14,8395,9964,cal,33,-115
1998,5,15,8575,10591,cal,33,-115
1998,5,16,8498,10070,cal,33,-115
1998,5,17,8645,10626,cal,33,-115
1998,5,18,8250,8697,cal,33,-115
1998,5,19,8089,8087,cal,33,-115
1998,5,20,1978,912,cal,33,-115
1998,5,21,8761,10510,cal,33,-115
1998,5,22,8624,10345,cal,33,-115
1998,5,23,8507,10013,cal,33,-115
1998,5,24,8456,9399,cal,33,-115
1998,5,25,8351,9094,cal,33,-115
1998,5,26,8541,10083,cal,33,-115
1998,5,27,8754,10731,cal,33,-115
1998,5,28,8660,10293,cal,33,-115
1998,5,29,7846,6786,cal,33,-115
1998,5,30,7788,7268,cal,33,-115
1998,5,31,7232,5479,cal,33,-115
1998,6,1,8828,10512,cal,33,-115
1998,6,2,8703,10654,cal,33,-115
1998,6,3,8682,10451,cal,33,-115
1998,6,4,8763,10687,cal,33,-115
1998,6,5,8731,10427,cal,33,-115
1998,6,6,8715,10305,cal,33,-115
1998,6,7,8661,10105,cal,33,-115
1998,6,8,8573,9910,cal,33,-115
1998,6,9,8733,10495,cal,33,-115
1998,6,10,8679,10328,cal,33,-115
1998,6,11,8626,10317,cal,33,-115
1998,6,12,8475,9240,cal,33,-115
1998,6,13,8807,10847,cal,33,-115
1998,6,14,8798,10863,cal,33,-115
