,Year,Month,Day,GHI,DNI
0,1998,1,1,3421,7709
1,1998,1,2,2852,4482
2,1998,1,3,3090,6388
3,1998,1,4,3128,6359
4,1998,1,5,3658,8603
5,1998,1,6,3347,6186
6,1998,1,7,3617,8434
7,1998,1,8,2582,2514
8,1998,1,9,1069,171
9,1998,1,10,635,201
10,1998,1,11,2062,1711
11,1998,1,12,2280,2126
12,1998,1,13,3734,8191
13,1998,1,14,3471,6282
14,1998,1,15,980,93
15,1998,1,16,3155,4979
16,1998,1,17,2933,2868
17,1998,1,18,3660,6659
18,1998,1,19,2526,2575
19,1998,1,20,2324,1435
20,1998,1,21,4017,8650
21,1998,1,22,3995,8069
22,1998,1,23,3885,7037
23,1998,1,24,4070,8592
24,1998,1,25,4122,8742
25,1998,1,26,2873,1971
26,1998,1,27,3817,5520
27,1998,1,28,3849,5947
28,1998,1,29,3729,4962
29,1998,1,30,4352,8502
30,1998,1,31,3390,4008
31,1998,2,1,3655,4491
32,1998,2,2,1940,1622
33,1998,2,3,1870,786
34,1998,2,4,4271,7234
35,1998,2,5,4540,8744
36,1998,2,6,2423,1991
37,1998,2,7,3531,4103
38,1998,2,8,2811,1536
39,1998,2,9,3245,5099
40,1998,2,10,4467,6840
41,1998,2,11,4490,6841
42,1998,2,12,4138,5013
43,1998,2,13,4440,6436
44,1998,2,14,1422,67
45,1998,2,15,4992,8805
46,1998,2,16,4960,7602
47,1998,2,17,709,14
48,1998,2,18,5201,9022
49,1998,2,19,2109,372
50,1998,2,20,2189,1888
51,1998,2,21,3833,2797
52,1998,2,22,2488,1981
53,1998,2,23,1436,443
54,1998,2,24,2477,1800
55,1998,2,25,5601,9714
56,1998,2,26,5254,7663
57,1998,2,27,5513,8670
58,1998,2,28,5476,8773
59,1998,3,1,5301,6854
60,1998,3,2,5804,9693
61,1998,3,3,5755,9512
62,1998,3,4,5474,7520
63,1998,3,5,5783,8908
64,1998,3,6,4375,5206
65,1998,3,7,5980,8915
66,1998,3,8,5401,6521
67,1998,3,9,6187,9488
68,1998,3,10,6327,10446
69,1998,3,11,6341,9970
70,1998,3,12,5865,7336
71,1998,3,13,3269,1505
72,1998,3,14,2207,704
73,1998,3,15,6288,9027
74,1998,3,16,5570,6068
75,1998,3,17,6396,9354
76,1998,3,18,6795,10745
77,1998,3,19,6609,8953
78,1998,3,20,6026,7036
79,1998,3,21,6503,9056
80,1998,3,22,5445,3911
81,1998,3,23,6404,7942
82,1998,3,24,6818,10145
83,1998,3,25,6378,8232
84,1998,3,26,3359,1633
85,1998,3,27,1087,19
86,1998,3,28,2319,568
87,1998,3,29,3853,3309
88,1998,3,30,6039,6897
89,1998,3,31,6710,7718
90,1998,4,1,3779,3386
91,1998,4,2,7292,9975
92,1998,4,3,6652,8441
93,1998,4,4,7456,10472
94,1998,4,5,6665,7433
95,1998,4,6,5417,3449
96,1998,4,7,6089,5715
97,1998,4,8,7551,10553
98,1998,4,9,7583,10095
99,1998,4,10,7694,10768
100,1998,4,11,6703,7527
101,1998,4,12,7693,9985
102,1998,4,13,7716,9973
103,1998,4,14,7525,8734
104,1998,4,15,5618,5240
105,1998,4,16,7998,10877
106,1998,4,17,7994,10687
107,1998,4,18,7977,11114
108,1998,4,19,7933,10188
109,1998,4,20,8008,11007
110,1998,4,21,8065,10993
111,1998,4,22,8045,10710
112,1998,4,23,8159,10886
113,1998,4,24,8069,10614
114,1998,4,25,7135,6931
115,1998,4,26,8330,10810
116,1998,4,27,8197,10567
117,1998,4,28,8223,9951
118,1998,4,29,8213,10554
119,1998,4,30,8283,10677
120,1998,5,1,8303,10542
121,1998,5,2,8330,10598
122,1998,5,3,8305,10624
123,1998,5,4,8232,9729
124,1998,5,5,6035,6454
125,1998,5,6,7120,7986
126,1998,5,7,6439,6560
127,1998,5,8,7969,8960
128,1998,5,9,8296,9631
129,1998,5,10,8711,11002
130,1998,5,11,8429,9486
131,1998,5,12,6210,3905
132,1998,5,13,7839,9288
133,1998,5,14,8193,10131
134,1998,5,15,8712,11269
135,1998,5,16,8694,10729
136,1998,5,17,8888,11469
137,1998,5,18,8077,9003
138,1998,5,19,8452,9424
139,1998,5,20,5652,4370
140,1998,5,21,9066,11827
141,1998,5,22,8940,11667
142,1998,5,23,8771,11147
143,1998,5,24,8793,11084
144,1998,5,25,8104,8993
145,1998,5,26,8666,10628
146,1998,5,27,8968,11642
147,1998,5,28,8267,8772
148,1998,5,29,7152,5263
149,1998,5,30,8992,10530
150,1998,5,31,7842,7534
151,1998,6,1,9145,12033
152,1998,6,2,8983,11796
153,1998,6,3,6772,8223
154,1998,6,4,8437,9611
155,1998,6,5,8895,11355
156,1998,6,6,8995,11280
157,1998,6,7,8941,11261
158,1998,6,8,8515,9456
159,1998,6,9,8952,11275
160,1998,6,10,7659,7523
161,1998,6,11,7437,7528
162,1998,6,12,3921,2940
163,1998,6,13,8979,11547
164,1998,6,14,8935,11680
165,1998,6,15,8967,11750
166,1998,6,16,8863,11293
167,1998,6,17,9322,12502
168,1998,6,18,9194,12417
169,1998,6,19,9054,11901
170,1998,6,20,9224,12292
171,1998,6,21,9305,12281
172,1998,6,22,9385,12413
173,1998,6,23,9283,12274
174,1998,6,24,9070,11919
175,1998,6,25,9042,11878
176,1998,6,26,9185,12287
177,1998,6,27,9192,12333
178,1998,6,28,9211,12348
179,1998,6,29,9290,12537
180,1998,6,30,9372,12762
181,1998,7,1,9174,12077
182,1998,7,2,9057,11661
183,1998,7,3,9074,11796
184,1998,7,4,8975,11494
185,1998,7,5,7347,6296
186,1998,7,6,8597,10343
187,1998,7,7,7973,8861
188,1998,7,8,8554,10474
189,1998,7,9,7456,7458
190,1998,7,10,8626,11141
191,1998,7,11,8872,11750
192,1998,7,12,9051,12028
193,1998,7,13,9125,12231
194,1998,7,14,9177,12433
195,1998,7,15,9075,12251
196,1998,7,16,8849,11618
197,1998,7,17,8479,10266
198,1998,7,18,8231,9025
199,1998,7,19,3577,591
200,1998,7,20,1375,425
201,1998,7,21,7589,7349
202,1998,7,22,5747,4063
203,1998,7,23,4648,2582
204,1998,7,24,7432,8254
205,1998,7,25,8468,11060
206,1998,7,26,8601,11495
207,1998,7,27,7222,8881
208,1998,7,28,7470,9365
209,1998,7,29,8150,9687
210,1998,7,30,8589,11424
211,1998,7,31,8779,12200
212,1998,8,1,8530,11394
213,1998,8,2,8563,11575
214,1998,8,3,8527,11799
215,1998,8,4,8447,11629
216,1998,8,5,8366,11502
217,1998,8,6,8042,9936
218,1998,8,7,7626,8398
219,1998,8,8,7486,8517
220,1998,8,9,3696,2126
221,1998,8,10,3728,3236
222,1998,8,11,6716,7520
223,1998,8,12,7327,8703
224,1998,8,13,6720,7558
225,1998,8,14,7559,8922
226,1998,8,15,6540,7590
227,1998,8,16,7609,9437
228,1998,8,17,7660,9537
229,1998,8,18,8085,11225
230,1998,8,19,7890,10954
231,1998,8,20,7835,10969
232,1998,8,21,7561,9778
233,1998,8,22,7449,9553
234,1998,8,23,7513,10030
235,1998,8,24,7246,8581
236,1998,8,25,5705,7182
237,1998,8,26,7528,10306
238,1998,8,27,7250,9052
239,1998,8,28,7296,10036
240,1998,8,29,7101,9356
241,1998,8,30,5749,5801
242,1998,8,31,6282,6860
243,1998,9,1,5123,5312
244,1998,9,2,6978,8846
245,1998,9,3,2662,1091
246,1998,9,4,2987,1725
247,1998,9,5,6747,9016
248,1998,9,6,6985,9791
249,1998,9,7,6802,9407
250,1998,9,8,4167,5011
251,1998,9,9,5765,6947
252,1998,9,10,6455,8315
253,1998,9,11,6414,8937
254,1998,9,12,6895,10185
255,1998,9,13,6929,10384
256,1998,9,14,6834,10280
257,1998,9,15,6767,9989
258,1998,9,16,6676,9809
259,1998,9,17,6637,9513
260,1998,9,18,6913,10610
261,1998,9,19,6902,10474
262,1998,9,20,6717,10069
263,1998,9,21,6491,9697
264,1998,9,22,6506,9770
265,1998,9,23,6480,9690
266,1998,9,24,6416,9590
267,1998,9,25,6405,9616
268,1998,9,26,6320,9554
269,1998,9,27,6301,9681
270,1998,9,28,6253,9785
271,1998,9,29,6270,9757
272,1998,9,30,6048,8996
273,1998,10,1,6049,9449
274,1998,10,2,6094,9708
275,1998,10,3,6011,9562
276,1998,10,4,5999,9545
277,1998,10,5,6151,10185
278,1998,10,6,6025,10082
279,1998,10,7,5593,7792
280,1998,10,8,5766,8476
281,1998,10,9,5903,9775
282,1998,10,10,5896,9917
283,1998,10,11,5750,8943
284,1998,10,12,5207,6797
285,1998,10,13,5547,8635
286,1998,10,14,5317,8266
287,1998,10,15,5374,8426
288,1998,10,16,5188,8777
289,1998,10,17,5491,9632
290,1998,10,18,5443,9667
291,1998,10,19,5264,9229
292,1998,10,20,5180,9015
293,1998,10,21,5078,8886
294,1998,10,22,4945,8264
295,1998,10,23,4663,6740
296,1998,10,24,3056,2728
297,1998,10,25,4331,6720
298,1998,10,26,3538,4514
299,1998,10,27,4809,8872
300,1998,10,28,4551,7292
301,1998,10,29,2161,794
302,1998,10,30,3350,2730
303,1998,10,31,4620,8544
304,1998,11,1,4475,8200
305,1998,11,2,4042,5951
306,1998,11,3,4554,9043
307,1998,11,4,4451,8543
308,1998,11,5,4472,8518
309,1998,11,6,4496,9145
310,1998,11,7,3204,4325
311,1998,11,8,2502,1868
312,1998,11,9,4401,9096
313,1998,11,10,4153,7609
314,1998,11,11,713,36
315,1998,11,12,4153,8181
316,1998,11,13,4139,8119
317,1998,11,14,4099,8471
318,1998,11,15,4122,7800
319,1998,11,16,4069,8056
320,1998,11,17,4032,8022
321,1998,11,18,3985,8297
322,1998,11,19,4047,8359
323,1998,11,20,4041,8484
324,1998,11,21,3904,8330
325,1998,11,22,3840,7338
326,1998,11,23,3775,7117
327,1998,11,24,3579,7224
328,1998,11,25,3688,7808
329,1998,11,26,3605,7001
330,1998,11,27,1972,1074
331,1998,11,28,861,98
332,1998,11,29,3046,3989
333,1998,11,30,3556,7630
334,1998,12,1,3521,7581
335,1998,12,2,3560,7748
336,1998,12,3,3480,7391
337,1998,12,4,3653,7984
338,1998,12,5,3615,7856
339,1998,12,6,2798,4457
340,1998,12,7,3597,8094
341,1998,12,8,3539,7731
342,1998,12,9,3569,7847
343,1998,12,10,3567,7934
344,1998,12,11,3514,7904
345,1998,12,12,3456,7802
346,1998,12,13,3489,7899
347,1998,12,14,3406,7457
348,1998,12,15,3375,7028
349,1998,12,16,3486,7979
350,1998,12,17,3398,7858
351,1998,12,18,3359,7068
352,1998,12,19,1840,974
353,1998,12,20,3477,7850
354,1998,12,21,3188,5471
355,1998,12,22,3548,8225
356,1998,12,23,3521,8007
357,1998,12,24,3354,6806
358,1998,12,25,3397,7906
359,1998,12,26,2624,3404
360,1998,12,27,3404,7447
361,1998,12,28,3472,8044
362,1998,12,29,3311,6931
363,1998,12,30,3274,6209
364,1998,12,31,3397,7101
365,1999,1,1,3548,8396
366,1999,1,2,3539,8365
367,1999,1,3,3674,8594
368,1999,1,4,3662,8495
369,1999,1,5,3558,7763
370,1999,1,6,3243,5838
371,1999,1,7,3640,8318
372,1999,1,8,3688,8359
373,1999,1,9,3637,8391
374,1999,1,10,3348,5400
375,1999,1,11,3426,6008
376,1999,1,12,3758,8374
377,1999,1,13,3654,7761
378,1999,1,14,3762,7946
379,1999,1,15,2496,2788
380,1999,1,16,3534,6673
381,1999,1,17,2614,1898
382,1999,1,18,3233,4434
383,1999,1,19,2789,3739
384,1999,1,20,2870,3491
385,1999,1,21,4014,8534
386,1999,1,22,3987,8484
387,1999,1,23,3745,6123
388,1999,1,24,2728,1888
389,1999,1,25,1877,2562
390,1999,1,26,2429,2928
391,1999,1,27,3166,4724
392,1999,1,28,4318,8899
393,1999,1,29,4294,8527
394,1999,1,30,4329,8454
395,1999,1,31,4051,6874
396,1999,2,1,4435,8784
397,1999,2,2,4586,9273
398,1999,2,3,4427,8920
399,1999,2,4,1463,240
400,1999,2,5,1957,656
401,1999,2,6,2968,2993
402,1999,2,7,4253,7072
403,1999,2,8,4316,6822
404,1999,2,9,4438,7014
405,1999,2,10,4979,9292
406,1999,2,11,4011,4147
407,1999,2,12,5100,9564
408,1999,2,13,4738,7521
409,1999,2,14,5035,8541
410,1999,2,15,4253,5396
411,1999,2,16,3873,3231
412,1999,2,17,4765,7017
413,1999,2,18,3678,3053
414,1999,2,19,4596,6593
415,1999,2,20,4880,6489
416,1999,2,21,4064,3674
417,1999,2,22,5443,9696
418,1999,2,23,5474,9646
419,1999,2,24,5492,8916
420,1999,2,25,4756,5692
421,1999,2,26,5464,8805
422,1999,2,27,5266,7086
423,1999,2,28,5600,8974
424,1999,3,1,4878,5010
425,1999,3,2,5528,7161
426,1999,3,3,5756,8777
427,1999,3,4,5882,8920
428,1999,3,5,5992,9766
429,1999,3,6,5877,8877
430,1999,3,7,5187,6209
431,1999,3,8,5944,9181
432,1999,3,9,6205,9680
433,1999,3,10,6048,8339
434,1999,3,11,5471,7491
435,1999,3,12,6383,9886
436,1999,3,13,6465,9996
437,1999,3,14,5047,3811
438,1999,3,15,5859,6649
439,1999,3,16,3350,1530
440,1999,3,17,6449,9549
441,1999,3,18,6482,9498
442,1999,3,19,5845,6559
443,1999,3,20,6507,9044
444,1999,3,21,6880,10487
445,1999,3,22,6907,10301
446,1999,3,23,6815,10002
447,1999,3,24,6765,9692
448,1999,3,25,5170,4945
449,1999,3,26,6887,9626
450,1999,3,27,6849,9275
451,1999,3,28,7026,9511
452,1999,3,29,7111,9577
453,1999,3,30,7084,9301
454,1999,3,31,5498,5073
455,1999,4,1,5080,4534
456,1999,4,2,6620,7476
457,1999,4,3,4497,2894
458,1999,4,4,3816,1801
459,1999,4,5,7326,9669
460,1999,4,6,7360,9713
461,1999,4,7,5787,5046
462,1999,4,8,7610,10616
463,1999,4,9,7916,11211
464,1999,4,10,7953,11207
465,1999,4,11,5081,3297
466,1999,4,12,3392,2412
467,1999,4,13,7799,10719
468,1999,4,14,8011,11118
469,1999,4,15,8090,10969
470,1999,4,16,7144,7596
471,1999,4,17,8134,9940
472,1999,4,18,8138,11019
473,1999,4,19,7993,10212
474,1999,4,20,6438,5355
475,1999,4,21,7598,8576
476,1999,4,22,7315,8388
477,1999,4,23,3766,2100
478,1999,4,24,3304,806
479,1999,4,25,7152,8583
480,1999,4,26,8143,10816
481,1999,4,27,8114,9572
482,1999,4,28,8344,9938
483,1999,4,29,2909,263
484,1999,4,30,2578,344
485,1999,5,1,8394,10993
486,1999,5,2,8259,10412
487,1999,5,3,6547,5608
488,1999,5,4,8560,11248
489,1999,5,5,8584,11594
490,1999,5,6,8597,11391
491,1999,5,7,8470,10863
492,1999,5,8,8530,10191
493,1999,5,9,8570,10467
494,1999,5,10,8209,8359
495,1999,5,11,8593,11064
496,1999,5,12,8545,10876
497,1999,5,13,8694,11198
498,1999,5,14,8969,11825
499,1999,5,15,8878,11604
500,1999,5,16,8916,11548
501,1999,5,17,8968,11733
502,1999,5,18,8059,8029
503,1999,5,19,8841,10871
504,1999,5,20,8839,10928
505,1999,5,21,8614,10026
506,1999,5,22,8747,10764
507,1999,5,23,6702,5524
508,1999,5,24,5798,4750
509,1999,5,25,8350,9812
510,1999,5,26,8603,10225
511,1999,5,27,5969,6397
512,1999,5,28,8535,9551
513,1999,5,29,9018,11399
514,1999,5,30,9054,11657
515,1999,5,31,9143,11955
516,1999,6,1,6428,5520
517,1999,6,2,6303,4849
518,1999,6,3,9035,11257
519,1999,6,4,5641,2977
520,1999,6,5,8971,11503
521,1999,6,6,9044,11393
522,1999,6,7,9133,11673
523,1999,6,8,9217,12016
524,1999,6,9,9163,11861
525,1999,6,10,9201,11877
526,1999,6,11,9041,10952
527,1999,6,12,9032,11426
528,1999,6,13,8956,10338
529,1999,6,14,8730,10253
530,1999,6,15,8589,9428
531,1999,6,16,8662,10019
532,1999,6,17,8867,10964
533,1999,6,18,9128,11539
534,1999,6,19,9187,11896
535,1999,6,20,9002,11437
536,1999,6,21,8914,10344
537,1999,6,22,8944,10414
538,1999,6,23,8908,11191
539,1999,6,24,8948,11434
540,1999,6,25,9118,12143
541,1999,6,26,9195,12112
542,1999,6,27,9225,12200
543,1999,6,28,9007,11780
544,1999,6,29,8996,11622
545,1999,6,30,9073,11785
546,1999,7,1,8903,11112
547,1999,7,2,8735,10650
548,1999,7,3,8952,11430
549,1999,7,4,9057,11954
550,1999,7,5,8925,11755
551,1999,7,6,7217,7557
552,1999,7,7,5892,4519
553,1999,7,8,4647,2771
554,1999,7,9,6317,3795
555,1999,7,10,5879,5795
556,1999,7,11,5355,3568
557,1999,7,12,7411,6331
558,1999,7,13,6157,5716
559,1999,7,14,7121,6960
560,1999,7,15,7448,8471
561,1999,7,16,8574,10713
562,1999,7,17,8859,11806
563,1999,7,18,7488,6811
564,1999,7,19,8660,11268
565,1999,7,20,8750,11567
566,1999,7,21,8744,11729
567,1999,7,22,8724,11747
568,1999,7,23,8746,11888
569,1999,7,24,8688,11473
570,1999,7,25,8188,10019
571,1999,7,26,8278,10349
572,1999,7,27,5995,4884
573,1999,7,28,4116,1027
574,1999,7,29,4436,1468
575,1999,7,30,6489,5927
576,1999,7,31,8537,11511
577,1999,8,1,8528,10342
578,1999,8,2,7271,7132
579,1999,8,3,7717,9435
580,1999,8,4,8312,10531
581,1999,8,5,8268,10489
582,1999,8,6,8337,10487
583,1999,8,7,8423,10985
584,1999,8,8,8456,11257
585,1999,8,9,8352,11237
586,1999,8,10,6258,5984
587,1999,8,11,8304,11212
588,1999,8,12,8303,11295
589,1999,8,13,8313,11330
590,1999,8,14,7690,8847
591,1999,8,15,8157,10996
592,1999,8,16,7677,9266
593,1999,8,17,7758,10434
594,1999,8,18,7544,8943
595,1999,8,19,5492,4464
596,1999,8,20,6631,6431
597,1999,8,21,7280,8975
598,1999,8,22,7384,9172
599,1999,8,23,4763,3352
600,1999,8,24,7062,7648
601,1999,8,25,7192,9160
602,1999,8,26,7301,8914
603,1999,8,27,7404,9869
604,1999,8,28,7327,9759
605,1999,8,29,4842,3961
606,1999,8,30,7041,8527
607,1999,8,31,7624,10868
608,1999,9,1,7560,10720
609,1999,9,2,7441,10686
610,1999,9,3,7420,10612
611,1999,9,4,7405,10627
612,1999,9,5,7474,11050
613,1999,9,6,7491,11327
614,1999,9,7,7467,11298
615,1999,9,8,7190,9691
616,1999,9,9,2171,1803
617,1999,9,10,6117,7011
618,1999,9,11,6485,7706
619,1999,9,12,6045,7164
620,1999,9,13,6537,8334
621,1999,9,14,6835,9902
622,1999,9,15,6592,9301
623,1999,9,16,5865,6603
624,1999,9,17,5999,8206
625,1999,9,18,4034,4565
626,1999,9,19,6814,10034
627,1999,9,20,6310,8663
628,1999,9,21,6172,7715
629,1999,9,22,1614,334
630,1999,9,23,6040,8009
631,1999,9,24,6356,9542
632,1999,9,25,6279,9367
633,1999,9,26,6436,10000
634,1999,9,27,6385,9848
635,1999,9,28,6400,9938
636,1999,9,29,6391,10074
637,1999,9,30,6279,9917
638,1999,10,1,6237,9758
639,1999,10,2,6169,9632
640,1999,10,3,6163,9702
