,Year,Month,Day,GHI,DNI
0,1998,1,1,3729,8304
1,1998,1,2,3227,5195
2,1998,1,3,3028,4333
3,1998,1,4,1990,2380
4,1998,1,5,2771,1886
5,1998,1,6,3980,8713
6,1998,1,7,3971,8532
7,1998,1,8,3682,6865
8,1998,1,9,3971,8783
9,1998,1,10,3939,8389
10,1998,1,11,4024,8631
11,1998,1,12,4050,8781
12,1998,1,13,3231,5310
13,1998,1,14,4122,8530
14,1998,1,15,3692,6400
15,1998,1,16,4061,8504
16,1998,1,17,3531,5459
17,1998,1,18,3884,6755
18,1998,1,19,2424,1804
19,1998,1,20,3938,6036
20,1998,1,21,1205,126
21,1998,1,22,4341,8473
22,1998,1,23,4046,7561
23,1998,1,24,4132,7166
24,1998,1,25,4460,9113
25,1998,1,26,4456,8910
26,1998,1,27,4491,7938
27,1998,1,28,4561,9070
28,1998,1,29,3798,4827
29,1998,1,30,4580,8567
30,1998,1,31,4287,6694
31,1998,2,1,4604,7755
32,1998,2,2,4619,8183
33,1998,2,3,4185,5952
34,1998,2,4,1448,1111
35,1998,2,5,3145,2141
36,1998,2,6,3785,5211
37,1998,2,7,4928,9339
38,1998,2,8,3722,4266
39,1998,2,9,3163,1682
40,1998,2,10,4664,7208
41,1998,2,11,4216,5622
42,1998,2,12,5272,9752
43,1998,2,13,4162,4895
44,1998,2,14,4320,4162
45,1998,2,15,1309,70
46,1998,2,16,3206,3932
47,1998,2,17,3946,4292
48,1998,2,18,2855,1328
49,1998,2,19,5344,8157
50,1998,2,20,2194,1201
51,1998,2,21,5557,9267
52,1998,2,22,5500,8394
53,1998,2,23,5689,8828
54,1998,2,24,5634,8075
55,1998,2,25,3715,2085
56,1998,2,26,5534,7196
57,1998,2,27,3453,2881
58,1998,2,28,6197,10415
59,1998,3,1,6148,10220
60,1998,3,2,6085,9964
61,1998,3,3,6207,10248
62,1998,3,4,6165,10008
63,1998,3,5,6002,8118
64,1998,3,6,3767,2039
65,1998,3,7,4246,3516
66,1998,3,8,6293,8963
67,1998,3,9,6562,10419
68,1998,3,10,6551,10256
69,1998,3,11,6568,10303
70,1998,3,12,6463,9621
71,1998,3,13,5984,7118
72,1998,3,14,4652,4024
73,1998,3,15,4074,2684
74,1998,3,16,4729,5126
75,1998,3,17,3647,1583
76,1998,3,18,2282,2590
77,1998,3,19,7095,10981
78,1998,3,20,6109,7083
79,1998,3,21,6821,9241
80,1998,3,22,7062,9884
81,1998,3,23,6316,5663
82,1998,3,24,7212,10983
83,1998,3,25,7141,10302
84,1998,3,26,5079,3929
85,1998,3,27,7196,10079
86,1998,3,28,7326,10635
87,1998,3,29,6990,8749
88,1998,3,30,3241,1273
89,1998,3,31,7562,10880
90,1998,4,1,7769,11276
91,1998,4,2,7670,11108
92,1998,4,3,7694,10881
93,1998,4,4,7826,11201
94,1998,4,5,7787,11030
95,1998,4,6,6486,7054
96,1998,4,7,7590,9265
97,1998,4,8,7871,10847
98,1998,4,9,7896,10882
